complaint,output
"My train was not in time, the pnr of train is 123456, it was scheduled at 9 pm","tags:['train'],priority:['2'],attributes:['pnr=123456'],sentiment:['negative']"
"The person at bengaluru station ticket counter was very rude, i enquired about train timings but he ddn't answer, his name was akash","tags:['staff','station'],priority:['1'],attributes:['station=bengaluru','name=akash],sentiment:['negative']"
"the kolkata station was very unhygenic, plastic can were all over the platform","tags:['station'],priority:['2'],attributes:['station=kolkata'],sentiment:['negative']"
"my train got late by 1 hour, the pnr of train is 56667","tags:['train'],priority:['2'],attributes:['pnr=56667'],sentiment:['neutral']"
"the station was not mantained properly, there were plastic cans all over","tags:['station'],priority:['2'],attributes:[],sentiment:['negative']"
"the trains chargin port was not working at seat number 24b, it was really disappointing","tags:['train'],priority:['1'],attributes:['seat=24b'],sentiment:['negative']"
"the station ticket booking staff was not helpful at all","tags:['station','staff],priority:['2'],attributes:[],sentiment:['negative']"
"I missed my train , when i went to the station's ticket counter, the staff helped me a lot, his name was arun","tags:['station'],priority:['2'],attributes:['name=arun'],sentiment:['positive']"
"no water in washroom in train bengaluru express in coach 12b, it was really inconvinient","tags:['train'],priority:['1'],attributes:['train=bengaluru_express'],sentiment:['negative']"
"the food served in train kolkata express was not edible, my pnr is 5678, i had to buy food from outside.","tags:['train','food'],priority:['1'],attributes:['train=kolkata_express','pnr=5678'],sentiment:['negative']"
"the ticket checker was a nice person, my pnr 9988 was not confirmed so he helped us to get an additional seat which was not occupied, his name was abhishek","tags:['train'],priority:['2'],attributes:['pnr=9988','name=abhishek'],sentiment:['positive']"
"i was not able to book ticket , the website was not working","tags:['website'],priority:['2'],attributes:[],sentiment:['negative']"
"the seat was broken in kolkata_express train ,the seat number is 155C","tags:['train'],priority:['2'],attributes:['train=kolkata_express','seat=155C'],sentiment:['neagtive']"